,case_id,summary
730,3370,"This is a defamation case, not an underlying criminal matter: it concerns a doctor's lawsuit against a news network and its employees over reports alleging his pediatric heart surgery program had a mortality rate more than three times the national average, based on a calculated raw mortality rate of 12.5% versus a cited national average of 3.3%. The dispute centers on whether the network's use of raw, rather than risk-adjusted, mortality data was false or misleading and whether it was published with the requisite fault. There is no underlying criminal incident or identifiable criminal suspect described in this opinion.', 'null': true}"
732,17237,"The suspect was indicted on two counts of menacing by stalking after allegedly repeatedly threatening and harassing the manager of a Burlington Coat Factory in Euclid, Ohio, following the denial of his job application there. He later pled guilty to an amended, reduced charge of attempted menacing by stalking, with an agreed recommendation of probation.4"
733,19182,"Over two consecutive nights, the defendant made numerous calls to a police department complaining about his upstairs neighbor and, during those calls, threatened to have the neighbor ""taken out,"" made racially derogatory remarks about the neighbor, and claimed gang affiliation. He also threatened a dispatcher and an officer, telling the dispatcher her life would be on the line and threatening to ""dog the shit out of"" the officer in front of his family, mentioning he had guns and knew where the officer lived. The defendant was known to police as a frequent, repeat caller who often became increasingly angry and abusive when officers did not act on his demands, sometimes calling as many as thirty times a day. He pleaded guilty to intimidation, telecommunications harassment, ethnic intimidation, and aggravated menacing based on these threatening phone calls."
735,40803,"An NCIS investigation traced a Dropbox account containing suspected child pornography to an email address and phone number linked to the appellant, and the account contained four videos with ""Snapchat"" in their file names located in a folder labeled ""Vault/UA/ua."" During a lengthy interrogation, the appellant admitted owning the Dropbox account and associated email/phone number, acknowledged he had previously been inadvertently exposed to child pornography images sent by unknown Snapchat users (which he said he did not save and blocked), and, under repeated pressure from the investigator, conceded it was ""possible"" or ""probable"" that he downloaded the videos during a period of heavy drinking and blackouts, though he maintained he had no memory of doing so. Forensic examination of the appellant's personal devices (phone, computer, hard drive, gaming console) found no evidence that he ever searched for, viewed, uploaded, or accessed the Dropbox account or the charged files, and records showed the Dropbox account had also been accessed by an iPhone model different from the one he owned. The appellate court found the evidence factually insufficient to prove the appellant knowingly and wrongfully viewed the charged child pornography videos, set aside the finding and sentence, and dismissed the charge with prejudice."
738,13776,"The underlying incident involved the defendant being convicted decades earlier of attempted murder, grand larceny of a vehicle, and three counts of first-degree murder, for which he was sentenced to death and additional prison terms. A federal court later granted habeas relief, finding he received ineffective assistance of counsel in presenting an insanity defense, and his conviction was vacated. When the State refiled the criminal complaint, the defendant was found incompetent to stand trial, and the complaint was dismissed; the State then sought civil commitment based on evidence that he had a mental disorder and posed a danger to himself and others.ed"
744,5953,"In 2009, the victim was lured to her husband's mechanic shop, where she was attacked and stabbed numerous times in the neck, arms, and torso, sustaining wounds that penetrated her heart and lungs. The case went unsolved until 2021, when a cold case investigation matched DNA recovered from the crime scene to the suspect, who was incarcerated at the time on an unrelated crime. The suspect was subsequently tried and found guilty of murder."
745,45584,"The defendant had received a withheld judgment and was on supervised felony probation for a prior forgery conviction when a probation officer and law enforcement officer conducted a compliance check at his home. During the check, officers found a vehicle he admitted to using, containing five firearms—including two handguns, a shotgun, an AR-15 rifle, and related tactical gear such as ammunition, magazines, and ballistic vests bearing his name. He also admitted that one handgun in the vehicle was registered in his name. Based on this evidence, he was arrested and convicted of five counts of unlawful possession of a firearm by a person previously convicted of a felony.”}]}<br/>{"
752,13336,"Police investigated reports that a stepfather had been surreptitiously placing his cellphone under bathroom and bedroom doors to film his minor stepdaughters. A hidden camera set up by the children's mother recorded the suspect masturbating in a hallway while repeatedly reaching a cellphone to the stepdaughters' bedroom doors and retrieving it to view the contents, and this recording was turned over to police along with reports from the stepdaughters that they had seen his phone slide under doors while undressing. When detectives confronted the suspect and asked to see his phone, he handed it over, after which police seized it without a warrant due to concerns he could quickly delete incriminating images if warned of the investigation. A subsequent warranted search of the phone revealed photographs and videos of all three stepchildren captured from under their bedroom and bathroom doors, leading to charges of video voyeurism, sexual exploitation of a child, and lewd conduct with a minor."
756,53335,"This is a parental rights termination case in which the mother, who had a decade-long history of methamphetamine and marihuana use, was found to have knowingly exposed her child to an endangering environment. The child was removed after the mother was found yelling and cursing at the five-year-old on a curb, told the investigator she did not care whether the child stayed with her, and lacked stable housing, having been ""bouncing from home to home."" After a monitored return, the mother allowed her brother, a known drug user, to live with her and the child, and the child subsequently tested positive for high levels of methamphetamine; the mother later stopped complying with court-ordered drug testing. The mother also had a prior history of losing parental rights to another child due to drug use, was previously incarcerated for methamphetamine possession, and experienced a relapse into drug use and an assault by a boyfriend shortly after this child's removal."
758,8058,"The defendant posted a compromising video on social media depicting the victim dancing nude, leading to a telecommunications harassment charge to which she pled guilty, resulting in a suspended jail sentence, community control, and a no-contact order prohibiting any direct or indirect contact with the victim. After sentencing, the defendant posted multiple messages on social media referencing the case and making disparaging remarks that were sent to the victim by mutual acquaintances, which the court found constituted indirect contact and harassment in violation of the no-contact order. Based on this conduct, occurring between October 2024 and January 2025, the court found the defendant violated her community control and imposed a 30-day jail sentence.”}</summary>}}} 😅 wait formatting issue.]}]} 😂}}]} let me redo.}]}} 🚫}]}} stop.}]}}"
